AUTHOR,ODDS_RATIO,CI_1,CI_2
Li Xiang (a),1.17,1.13,1.22
Li Xiang (b),1.29,1.21,1.37
Li Xiang (c),1.22,0.91,1.64
Ward Ashley(a),1.03,1.03,1.03
Ward Ashley(b),1.02,1.02,1.03
Ward Ashley(c),1.01,1,1.01
"Vasileiou, Vasiliki",1.65,1.43,1.9
"Molina-Vega, Maria",1.783,1.34,2.371
Yuan Kun(a),1.031,1.018,1.044
Yuan Kun(b),1.071,1.032,1.11
Qian Nianfeng,1.3,1.04,1.62
Lin Yanfen,2.9,2.1,4.2
Xiong Tao (a),1.06,0.96,1.17
Xiong Tao (b),1.12,1.03,1.23
Xiong Tao (c),1.14,1.06,1.23
"Xiong, Tao (d)",1.18,1.1,1.27
"Zheng, Xiangrong",2.57,1.98,3.33
"Ha, Sandie (a)",4.75,3.95,5.71
"Ha, Sandie (b)",1.06,1.03,1.09
"Kanner, Jenna ",5.06,3.34,7.68
"Katsarou, Anastesia",1.51,1.24,1.83
"Lawrence, Wayne R",1.02,0.96,1.08